signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
section_79_valued_environmental_components,Section 7.9 - Valued Environmental Components,5,7.9 Valued Environmental Components ..........................................................                 | 55,"(section\ 7\.9\ \-\ valued\ environmental\ components)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.9\ \-\ valued\ environmental\ components)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.9 - Valued Environmental Components' only; remove numeric values; optionally append <section_79_valued_environmental_components>,1
section_710_impacts_of_environment_on_project,Section 7.10 - Impacts of Environment on Project,5,7.10 Impacts of Environment on Project ........................................................                 | 56,"(section\ 7\.10\ \-\ impacts\ of\ environment\ on\ project)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.10\ \-\ impacts\ of\ environment\ on\ project)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.10 - Impacts of Environment on Project' only; remove numeric values; optionally append <section_710_impacts_of_environment_on_project>,1
section_81_air_quality_management_and_mitigation,Section 8.1 - Air Quality Management and Mitigation,5,8.1 Air Quality Management and Mitigation ......................................................               | 57,"(section\ 8\.1\ \-\ air\ quality\ management\ and\ mitigation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.1\ \-\ air\ quality\ management\ and\ mitigation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.1 - Air Quality Management and Mitigation' only; remove numeric values; optionally append <section_81_air_quality_management_and_mitigation>,1
section_82_water_pollution,Section 8.2 - Water Pollution,5,8.2 Water Pollution                                                                                            | ........................................................................................ 57,"(section\ 8\.2\ \-\ water\ pollution)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.2\ \-\ water\ pollution)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.2 - Water Pollution' only; remove numeric values; optionally append <section_82_water_pollution>,1
section_83_waste_management,Section 8.3 - Waste Management,5,8.3 Waste Management .................................................................................         | 58,"(section\ 8\.3\ \-\ waste\ management)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.3\ \-\ waste\ management)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.3 - Waste Management' only; remove numeric values; optionally append <section_83_waste_management>,1
section_84_biodiversity_impact_management_and_mitigation,Section 8.4 - Biodiversity Impact Management and Mitigation,5,8.4 Biodiversity Impact Management and Mitigation .........................................                    | 58,"(section\ 8\.4\ \-\ biodiversity\ impact\ management\ and\ mitigation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.4\ \-\ biodiversity\ impact\ management\ and\ mitigation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.4 - Biodiversity Impact Management and Mitigation' only; remove numeric values; optionally append <section_84_biodiversity_impact_management_and_mitigation>,1
section_85_socioeconomic_and_sociocultural_impact_management,Section 8.5 - Socioeconomic and Sociocultural Impact Management,5,8.5 Socioeconomic and Sociocultural Impact Management .............................                            | 59,"(section\ 8\.5\ \-\ socioeconomic\ and\ sociocultural\ impact\ management)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.5\ \-\ socioeconomic\ and\ sociocultural\ impact\ management)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.5 - Socioeconomic and Sociocultural Impact Management' only; remove numeric values; optionally append <section_85_socioeconomic_and_sociocultural_impact_management>,1
section_86_residual_and_cumulative_impact_management,Section 8.6 - Residual and Cumulative Impact Management,5,8.6 Residual and Cumulative Impact Management ..........................................                       | 60,"(section\ 8\.6\ \-\ residual\ and\ cumulative\ impact\ management)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.6\ \-\ residual\ and\ cumulative\ impact\ management)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.6 - Residual and Cumulative Impact Management' only; remove numeric values; optionally append <section_86_residual_and_cumulative_impact_management>,1
section_87_enhancing_benefits,Section 8.7 - Enhancing Benefits,5,8.7 Enhancing Benefits                                                                                         | .................................................................................. 61,"(section\ 8\.7\ \-\ enhancing\ benefits)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 8\.7\ \-\ enhancing\ benefits)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 8.7 - Enhancing Benefits' only; remove numeric values; optionally append <section_87_enhancing_benefits>,1
section_9_alternatives_analysis,Section 9 - Alternatives Analysis,5,9. ALTERNATIVES ANALYSIS .................................................................................,"(section\ 9\ \-\ alternatives\ analysis)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 9\ \-\ alternatives\ analysis)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 9 - Alternatives Analysis' only; remove numeric values; optionally append <section_9_alternatives_analysis>,1
section_10_conclusions_and_recommendations,Section 10 - Conclusions and Recommendations,5,10. CONCLUSIONSANDRECOMMENDATIONS ...................................................                          | 65,"(section\ 10\ \-\ conclusions\ and\ recommendations)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 10\ \-\ conclusions\ and\ recommendations)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 10 - Conclusions and Recommendations' only; remove numeric values; optionally append <section_10_conclusions_and_recommendations>,1
appendix_project_photographs,Appendix - Project Photographs,5,APPENDIX: PROJECTPHOTOGRAPHS ......................................................................        | 67,"(appendix\ \-\ project\ photographs)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (appendix\ \-\ project\ photographs)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Appendix - Project Photographs' only; remove numeric values; optionally append <appendix_project_photographs>,1
project_location,Project location,7,"Natarbora Energy Complex, Viqueque, Timor Leste","(project\ location)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ location)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project location' only; remove numeric values; optionally append <project_location>,1
oil_refinery_process,Oil Refinery Process,7,Oil Refinery Process,"(oil\ refinery\ process)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (oil\ refinery\ process)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Oil Refinery Process' only; remove numeric values; optionally append <oil_refinery_process>,1
environmental_bureau_organization_chart,Environmental Bureau Organization Chart,7,Organization Chart of Environment Bureau,"(environmental\ bureau\ organization\ chart)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (environmental\ bureau\ organization\ chart)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Environmental Bureau Organization Chart' only; remove numeric values; optionally append <environmental_bureau_organization_chart>,1
environmental_licensing_procedure,Environmental Licensing Procedure,7,Procedure for Environmental Licensing,"(environmental\ licensing\ procedure)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (environmental\ licensing\ procedure)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Environmental Licensing Procedure' only; remove numeric values; optionally append <environmental_licensing_procedure>,1
temperature_data_period,Temperature data period,7,"Temperatures at Natarbora Region, 1958 - 2023","(temperature\ data\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (temperature\ data\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Temperature data period' only; remove numeric values; optionally append <temperature_data_period>,1
monthly_temperature_variability_data_period,Monthly Temperature Variability data period,7,"Natarbora Region Monthly Temperature Variability, 1958-2023","(monthly\ temperature\ variability\ data\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (monthly\ temperature\ variability\ data\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Monthly Temperature Variability data period' only; remove numeric values; optionally append <monthly_temperature_variability_data_period>,1
average_monthly_rainfall_data_period,Average Monthly Rainfall data period,7,"Natarbora Region Average Monthly Rainfall, 1958-2023","(average\ monthly\ rainfall\ data\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (average\ monthly\ rainfall\ data\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Average Monthly Rainfall data period' only; remove numeric values; optionally append <average_monthly_rainfall_data_period>,1
daily_rainfall_data_period,Daily Rainfall data period,7,"Natarbora Daily Rainfall, 1958-2023","(daily\ rainfall\ data\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (daily\ rainfall\ data\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Daily Rainfall data period' only; remove numeric values; optionally append <daily_rainfall_data_period>,1
wind_rose_data_period,Wind Rose data period,7,"Natarbora Wind Rose, Dry Season (April-November) and Wet Season (December-March)","(wind\ rose\ data\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (wind\ rose\ data\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Wind Rose data period' only; remove numeric values; optionally append <wind_rose_data_period>,1
cyclone_tracks_data_period,Cyclone tracks data period,7,Cyclone tracks and frequency over the period 1900 - present.,"(cyclone\ tracks\ data\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cyclone\ tracks\ data\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Cyclone tracks data period' only; remove numeric values; optionally append <cyclone_tracks_data_period>,1
wildfire_occurrences_source,Wildfire Occurrences source,7,Wildfire Occurrences (Source: FIRMS),"(wildfire\ occurrences\ source)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (wildfire\ occurrences\ source)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Wildfire Occurrences source' only; remove numeric values; optionally append <wildfire_occurrences_source>,1
topography_source,Topography source,7,Timor Leste Topography,"(topography\ source)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (topography\ source)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Topography source' only; remove numeric values; optionally append <topography_source>,1
landslide_source,Landslide source,7,Rainfall triggered landslides (Source: World Bank - The Global Landslide Hazard Map2020).,"(landslide\ source)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (landslide\ source)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Landslide source' only; remove numeric values; optionally append <landslide_source>,1
geology_source,Geology source,7,Geology at Project Location (Source: commons.wikimedia.org/wiki/File: Timor Leste_Geological_map_of_zone_C.png),"(geology\ source)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (geology\ source)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Geology source' only; remove numeric values; optionally append <geology_source>,1
drainage_basin_and_watercourses,Drainage Basin and Watercourses,7,Project Region Drainage Basin and Watercourses,"(drainage\ basin\ and\ watercourses)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (drainage\ basin\ and\ watercourses)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Drainage Basin and Watercourses' only; remove numeric values; optionally append <drainage_basin_and_watercourses>,1
groundwater_fields_and_yield_source,Groundwater fields and yield source,7,Potential groundwater fields and yield in Timor Leste,"(groundwater\ fields\ and\ yield\ source)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (groundwater\ fields\ and\ yield\ source)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Groundwater fields and yield source' only; remove numeric values; optionally append <groundwater_fields_and_yield_source>,1
land_use_and_land_cover_source,Land Use and Land Cover source,7,Land Use and Land Cover at Natarbora Project Site and Vicinity (Source: ESRI 2023),"(land\ use\ and\ land\ cover\ source)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (land\ use\ and\ land\ cover\ source)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Land Use and Land Cover source' only; remove numeric values; optionally append <land_use_and_land_cover_source>,1
nearest_coral_reefs_distance,Nearest Coral Reefs distance,7,Nearest Coral Reefs are 40 km East and West of the Project,"(nearest\ coral\ reefs\ distance)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (nearest\ coral\ reefs\ distance)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Nearest Coral Reefs distance' only; remove numeric values; optionally append <nearest_coral_reefs_distance>,2
population_pyramid_data_year,Population Pyramid data year,7,"Population Pyramid of Timor-Leste, 2020","(population\ pyramid\ data\ year)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (population\ pyramid\ data\ year)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Population Pyramid data year' only; remove numeric values; optionally append <population_pyramid_data_year>,1
location_of_natarbora_refinery_and_petrochemical_complex,Location of Natarbora Refinery and Petrochemical Complex,8,"The Natarbora Refinery and Petrochemical Complex is a planned industrial facility to be located in Natarbora, Timor Leste","(location\ of\ natarbora\ refinery\ and\ petrochemical\ complex)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (location\ of\ natarbora\ refinery\ and\ petrochemical\ complex)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Location of Natarbora Refinery and Petrochemical Complex' only; remove numeric values; optionally append <location_of_natarbora_refinery_and_petrochemical_complex>,1
distance_from_beaco,Distance from Beaço,8,The complex is to be about 60 km west of Beaço on Timor-Leste's south coast,"(distance\ from\ beaço)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ beaço)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from Beaço' only; remove numeric values; optionally append <distance_from_beaco>,1
distance_from_dili,Distance from Dili,8,The complex is to be about 75 km southeast of Dili,"(distance\ from\ dili)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ dili)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from Dili' only; remove numeric values; optionally append <distance_from_dili>,1
components_of_the_natarbora_complex,Components of the Natarbora Complex,8,"The Natarbora Refinery and Petrochemical Complex, designed as a self-sustainable integrated facility, is part of a larger complex comprising three main areas: Marine Facility/Seaport, Refinery and Petrochemical Complex, LNG Plant with supplementary gas processing.","(components\ of\ the\ natarbora\ complex)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (components\ of\ the\ natarbora\ complex)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Components of the Natarbora Complex' only; remove numeric values; optionally append <components_of_the_natarbora_complex>,1
assessment_coverage,Assessment Coverage,8,"Although this Preliminary ESIA does not cover the LNG or Seaport, it is important to recognize that assessing risks and impacts is challenging without considering these closely linked facilities","(assessment\ coverage)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (assessment\ coverage)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Assessment Coverage' only; remove numeric values; optionally append <assessment_coverage>,1
objectives_of_preliminary_esia,Objectives of Preliminary ESIA,8,This Preliminary Environmental and Socioeconomic Impact Assessment is compiled to evaluate the environmental and social implications of the proposed Natarbora Refinery and Petrochemical Complex.,"(objectives\ of\ preliminary\ esia)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (objectives\ of\ preliminary\ esia)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Objectives of Preliminary ESIA' only; remove numeric values; optionally append <objectives_of_preliminary_esia>,1
initial_production_capacity,Initial production capacity,9,"""an initial production capacity based on a feedstock input of 30,000 barrels per day (bpd)""","(initial\ production\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (initial\ production\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Initial production capacity' only; remove numeric values; optionally append <initial_production_capacity>,1
stage_2_production_capacity,Stage 2 production capacity,9,"""followed by expansion to 60,000 bpd in Stage 2""","(stage\ 2\ production\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stage\ 2\ production\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stage 2 production capacity' only; remove numeric values; optionally append <stage_2_production_capacity>,1
stage_3_production_capacity,Stage 3 production capacity,9,"""ultimately reaching 100,000 bpd in Stage 3""","(stage\ 3\ production\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stage\ 3\ production\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stage 3 production capacity' only; remove numeric values; optionally append <stage_3_production_capacity>,1
capacity_units,Capacity units,9,"""capacity units are in thousand barrels per stream day (kBPSD) and tonnes per day (TPD)""","(capacity\ units)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (capacity\ units)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Capacity units' only; remove numeric values; optionally append <capacity_units>,1
crude_distillation_capacity,Crude Distillation Capacity,10,"Primary unit used to separate crude oil through heating into different fractions or cuts like naphtha, kerosene, diesel, and residual oils.","(crude\ distillation\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (crude\ distillation\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Crude Distillation Capacity' only; remove numeric values; optionally append <crude_distillation_capacity>,1
naphtha_hydrotreater_capacity,Naphtha Hydrotreater Capacity,10,"Removes impurities such as sulfur, nitrogen, and metals from naphtha feedstocks to produce cleaner products and meet environmental standards.","(naphtha\ hydrotreater\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (naphtha\ hydrotreater\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Naphtha Hydrotreater Capacity' only; remove numeric values; optionally append <naphtha_hydrotreater_capacity>,1
diesel_hydrotreater_capacity,Diesel Hydrotreater Capacity,10,"Removes impurities such as sulfur, nitrogen, and metals from diesel feedstocks to produce cleaner products and meet environmental standards.","(diesel\ hydrotreater\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (diesel\ hydrotreater\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Diesel Hydrotreater Capacity' only; remove numeric values; optionally append <diesel_hydrotreater_capacity>,1
semi_regenerative_reformer_capacity,Semi Regenerative Reformer Capacity,10,"Converts naphtha into high-octane reformate, rich in aromatics and hydrogen, through catalytic reforming, with periodic catalyst regeneration to maintain efficiency and yield.","(semi\ regenerative\ reformer\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (semi\ regenerative\ reformer\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Semi Regenerative Reformer Capacity' only; remove numeric values; optionally append <semi_regenerative_reformer_capacity>,1
light_naphtha_isomerization_capacity,Light Naphtha Isomerization Capacity,10,"Converts straight-chain hydrocarbons into branched-chain hydrocarbons, to increase the octane number of fuels without altering molecular weight significantly.","(light\ naphtha\ isomerization\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (light\ naphtha\ isomerization\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Light Naphtha Isomerization Capacity' only; remove numeric values; optionally append <light_naphtha_isomerization_capacity>,1
sulfur_recovery_capacity,Sulfur Recovery Capacity,10,"Converts hydrogen sulfide and other sulfur compounds from gas streams into elemental sulfur, helping to reduce sulfur emissions and comply with environmental regulations.","(sulfur\ recovery\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sulfur\ recovery\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sulfur Recovery Capacity' only; remove numeric values; optionally append <sulfur_recovery_capacity>,1
lpg_sweetening_capacity,LPG Sweetening Capacity,10,"Removes or neutralizes mercaptans and other sulfur compounds from Liquefied Petroleum Gas, enhancing its odor and meeting product quality specifications.","(lpg\ sweetening\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lpg\ sweetening\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LPG Sweetening Capacity' only; remove numeric values; optionally append <lpg_sweetening_capacity>,1
kerosene_sweetening_capacity,Kerosene Sweetening Capacity,10,Optional,"(kerosene\ sweetening\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (kerosene\ sweetening\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Kerosene Sweetening Capacity' only; remove numeric values; optionally append <kerosene_sweetening_capacity>,1
petrochemical_processing_facility_capacity,Petrochemical Processing Facility Capacity,10,The petrochemical processing facility capacity are listed below in KTA or thousand tonnes per year.,"(petrochemical\ processing\ facility\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (petrochemical\ processing\ facility\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Petrochemical Processing Facility Capacity' only; remove numeric values; optionally append <petrochemical_processing_facility_capacity>,1
steam_cracker_capacity,Steam Cracker Capacity,11,Steam Cracker 1000 KTA,"(steam\ cracker\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (steam\ cracker\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Steam Cracker Capacity' only; remove numeric values; optionally append <steam_cracker_capacity>,1
propane_dehydrogenation_pdh_capacity,Propane Dehydrogenation (PDH) Capacity,11,Propane Dehydrogenation (PDH) 500 KTA,"(propane\ dehydrogenation\ \(pdh\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (propane\ dehydrogenation\ \(pdh\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Propane Dehydrogenation (PDH) Capacity' only; remove numeric values; optionally append <propane_dehydrogenation_pdh_capacity>,1
high_density_polyethylene_hdpe_linear_low_density_polyethylene_lldpe_capacity,High Density Polyethylene (HDPE) / Linear Low-Density Polyethylene (LLDPE) Capacity,11,High Density Polyethylene (HDPE) / Linear Low-Density Polyethylene (LLDPE) 2x 500 KTA,"(high\ density\ polyethylene\ \(hdpe\)\ /\ linear\ low\-density\ polyethylene\ \(lldpe\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (high\ density\ polyethylene\ \(hdpe\)\ /\ linear\ low\-density\ polyethylene\ \(lldpe\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'High Density Polyethylene (HDPE) / Linear Low-Density Polyethylene (LLDPE) Capacity' only; remove numeric values; optionally append <high_density_polyethylene_hdpe_linear_low_density_polyethylene_lldpe_capacity>,1
low_density_polyethylene_ldpe_capacity,Low Density Polyethylene (LDPE) Capacity,11,Low Density Polyethylene (LDPE) 400 KTA,"(low\ density\ polyethylene\ \(ldpe\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (low\ density\ polyethylene\ \(ldpe\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Low Density Polyethylene (LDPE) Capacity' only; remove numeric values; optionally append <low_density_polyethylene_ldpe_capacity>,1
polypropylene_pp_capacity,Polypropylene (PP) Capacity,11,Polypropylene (PP) 500 KTA,"(polypropylene\ \(pp\)\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (polypropylene\ \(pp\)\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Polypropylene (PP) Capacity' only; remove numeric values; optionally append <polypropylene_pp_capacity>,1
c4shu_selective_hydrogenation_unit_capacity,C4SHU Selective Hydrogenation Unit Capacity,11,C4SHU Selective Hydrogenation Unit 240 KTA,"(c4shu\ selective\ hydrogenation\ unit\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (c4shu\ selective\ hydrogenation\ unit\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'C4SHU Selective Hydrogenation Unit Capacity' only; remove numeric values; optionally append <c4shu_selective_hydrogenation_unit_capacity>,1
mtbe_capacity,MTBE Capacity,11,MTBE 64 KTA,"(mtbe\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (mtbe\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'MTBE Capacity' only; remove numeric values; optionally append <mtbe_capacity>,1
butene_1_capacity,Butene-1 Capacity,11,Butene-1 59 KTA,"(butene\-1\ capacity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (butene\-1\ capacity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Butene-1 Capacity' only; remove numeric values; optionally append <butene_1_capacity>,1
